biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P55774,C,canonical,  1.000,  1.000,5,  0.113,3,17,17q12,34391640,34399392,+,,,P55774,1,1,,,,CCL18_HUMAN C-C motif chemokine 18 OS=Homo sapiens GN=CCL18 PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O14558,C,canonical,  1.000,  1.000,6,  0.068,3,19,19q13.12,36245470,36247930,-,,,O14558,2,4,,,,HSPB6_HUMAN Heat shock protein beta-6 OS=Homo sapiens GN=HSPB6 PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O75594,C,canonical,  1.000,  1.000,624,  5.646,11,19,19q13.32,46522415,46526556,-,,,O75594,3,1,,,,PGRP1_HUMAN Peptidoglycan recognition protein 1 OS=Homo sapiens GN=PGLYRP1 PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P21926,C,canonical,  1.000,  1.000,7,  0.090,2,12,12p13.31,6309615,6347425,+,,,P21926,4,5,,,,CD9_HUMAN CD9 antigen OS=Homo sapiens GN=CD9 PE=1 SV=4,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9H1B5,C,canonical,  1.000,  1.000,8,  0.020,2,17,17q21.33,48423453,48438512,+,,,Q9H1B5,5,1,,,,XYLT2_HUMAN Xylosyltransferase 2 OS=Homo sapiens GN=XYLT2 PE=2 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P00480,C,canonical,  1.000,  1.000,28,  0.121,5,X,Xp11.4,38211798,38280703,+,,,P00480,6,1,,,,""OTC_HUMAN Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3"",Homo sapiens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9BZR6,C,canonical,  1.000,  1.000,2,  0.007,2,22,22q11.21,20228938,20256054,-,,,Q9BZR6,7,3,,,,RTN4R_HUMAN Reticulon-4 receptor OS=Homo sapiens GN=RTN4R PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P63027,C,canonical,  1.000,  1.000,7,  0.127,2,17,17p13.1,8062467,8066293,-,,,P63027,8,4,,,,VAMP2_HUMAN Vesicle-associated membrane protein 2 OS=Homo sapiens GN=VAMP2 PE=1 SV=3,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9NTU7,C,canonical,  1.000,  1.000,46,  0.416,4,20,20q13.2,54572496,54580528,-,,,Q9NTU7,9,1,,,,CBLN4_HUMAN Cerebellin-4 OS=Homo sapiens GN=CBLN4 PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O95633,C,canonical,  1.000,  1.000,45,  0.339,8,19,19p13.3,676389,683392,+,,,O95633,10,2,,,,FSTL3_HUMAN Follistatin-related protein 3 OS=Homo sapiens GN=FSTL3 PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P08138,C,canonical,  1.000,  1.000,10,  0.053,2,17,17q21.33,47572655,47592379,+,,,P08138,11,2,,,,TNR16_HUMAN Tumor necrosis factor receptor superfamily member 16 OS=Homo sapiens GN=NGFR PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P46782,C,canonical,  1.000,  1.000,42,  0.380,5,19,19q13.43,58898636,58906170,+,,,P46782,12,1,,,,RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O75131,C,canonical,  1.000,  1.000,7,  0.021,2,8,8q21.3,87497059,87573726,+,,,O75131,13,1,,,,CPNE3_HUMAN Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P09105,C,canonical,  1.000,  1.000,9,  0.090,2,16,16p13.3,230452,231180,+,,,P09105,14,1,,,,HBAT_HUMAN Hemoglobin subunit theta-1 OS=Homo sapiens GN=HBQ1 PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P31930,C,canonical,  1.000,  1.000,2,  0.007,2,3,3p21.31,48636436,48647470,-,,,P31930,15,2,,,,""QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3"",Homo sapiens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P98172,C,canonical,  1.000,  1.000,47,  0.203,4,X,Xq13.1,68048840,68061990,+,,,P98172,16,1,,,,EFNB1_HUMAN Ephrin-B1 OS=Homo sapiens GN=EFNB1 PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P05546,C,canonical,  1.000,  1.000,200054,646.492,130,22,22q11.21,21128167,21142008,+,,,P05546,17,2,,,,HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens GN=SERPIND1 PE=1 SV=3,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P14174,C,canonical,  1.000,  1.000,75,  1.357,4,22,22q11.23,24236191,24237413,+,,,P14174,18,1,,,,MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P08311,C,canonical,  1.000,  1.000,13,  0.078,6,14,14q12,25042762,25045466,-,,,P08311,19,1,,,,CATG_HUMAN Cathepsin G OS=Homo sapiens GN=CTSG PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O95433,C,canonical,  1.000,  1.000,5,  0.021,2,14,14q24.3,77924373,77935817,+,,,O95433,20,5,,,,AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9UNN8,C,canonical,  1.000,  1.000,11708, 96.308,14,20,20q11.22,33759774,33765164,+,,,Q9UNN8,21,2,,,,EPCR_HUMAN Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9UBR2,C,canonical,  1.000,  1.000,1116,  7.213,13,20,20q13.32,57570240,57582302,-,,,Q9UBR2,22,1,,,,CATZ_HUMAN Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P01178,C,canonical,  1.000,  1.000,13,  0.168,2,20,20p13,3052266,3053163,+,,,P01178,23,1,,,,NEU1_HUMAN Oxytocin-neurophysin 1 OS=Homo sapiens GN=OXT PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9H444,C,canonical,  1.000,  1.000,4,  0.028,3,20,20q11.22,32399110,32442172,+,,,Q9H444,24,1,,,,CHM4B_HUMAN Charged multivesicular body protein 4b OS=Homo sapiens GN=CHMP4B PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P01036,C,canonical,  1.000,  1.000,82,  0.824,8,20,20p11.21,23666277,23669677,-,,,P01036,25,1,,,,CYTS_HUMAN Cystatin-S OS=Homo sapiens GN=CST4 PE=1 SV=3,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9NR99,C,canonical,  1.000,  1.000,69,  0.042,6,X,Xp22.33,3226611,3264684,-,,,Q9NR99,26,3,,,,MXRA5_HUMAN Matrix-remodeling-associated protein 5 OS=Homo sapiens GN=MXRA5 PE=2 SV=3,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P06280,C,canonical,  1.000,  1.000,6,  0.021,4,X,Xq22.1,100652791,100662913,-,,,P06280,27,1,,,,AGAL_HUMAN Alpha-galactosidase A OS=Homo sapiens GN=GLA PE=1 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P13686,C,canonical,  1.000,  1.000,76,  0.529,3,19,19p13.2,11685477,11689801,-,,,P13686,28,1,,,,PPA5_HUMAN Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens GN=ACP5 PE=1 SV=3,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q15428,C,canonical,  1.000,  1.000,2,  0.012,2,19,19p13.3,2236816,2248677,+,,,Q15428,29,2,,,,SF3A2_HUMAN Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q9HD89,C,canonical,  1.000,  1.000,16,  0.207,2,19,19p13.2,7733972,7735340,+,,,Q9HD89,30,1,,,,RETN_HUMAN Resistin OS=Homo sapiens GN=RETN PE=2 SV=1,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P31944,C,canonical,  1.000,  1.000,37,  0.223,8,19,19p13.12,15163015,15166900,+,,,P31944,31,1,,,,CASPE_HUMAN Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P22087,C,canonical,  1.000,  1.000,21,  0.095,4,19,19q13.2,40325094,40337054,-,,,P22087,32,1,,,,FBRL_HUMAN rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q05315,C,canonical,  1.000,  1.000,12,  0.155,2,19,19q13.2,40221896,40228668,-,,,Q05315,33,2,,,,LPPL_HUMAN Eosinophil lysophospholipase OS=Homo sapiens GN=CLC PE=1 SV=3,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P01137,C,canonical,  1.000,  1.000,369,  1.590,18,19,19q13.2,41836813,41859831,-,,,P01137,34,2,,,,TGFB1_HUMAN Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P39019,C,canonical,  1.000,  1.000,13,  0.118,5,19,19q13.2,42363988,42375482,+,,,P39019,35,1,,,,RS19_HUMAN 40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2,Homo sapiens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
