biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name;;;;;;;;
A5YM72,C,canonical,  1.000,  1.000,2,  0.459,2,11,11q13.2,67183149,67193078,+,,,A5YM72,1,6,,,,CRNS1_HUMAN Carnosine synthase 1 OS=Homo sapiens GN=CARNS1 PE=1 SV=3,Homo sapiens;;;;;;;;
P21926,C,canonical,  1.000,  1.000,12, 16.923,4,12,12p13.31,6309615,6347425,+,,,P21926,2,5,,,,CD9_HUMAN CD9 antigen OS=Homo sapiens GN=CD9 PE=1 SV=4,Homo sapiens;;;;;;;;
Q96CN7,C,canonical,  1.000,  1.000,6,  4.231,3,5,5q23.3,128430444,128449721,+,,,Q96CN7,3,5,,,,ISOC1_HUMAN Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3,Homo sapiens;;;;;;;;
P25713,C,canonical,  1.000,  1.000,8, 26.324,2,16,16q12.2,56623280,56625000,+,,,P25713,4,3,,,,MT3_HUMAN Metallothionein-3 OS=Homo sapiens GN=MT3 PE=1 SV=1,Homo sapiens;;;;;;;;
Q15773,C,canonical,  1.000,  1.000,3,  2.692,2,12,12p13.31,6857173,6862721,-,,,Q15773,5,1,,,,MLF2_HUMAN Myeloid leukemia factor 2 OS=Homo sapiens GN=MLF2 PE=1 SV=1,Homo sapiens;;;;;;;;
P30049,C,canonical,  1.000,  1.000,16, 26.324,8,19,19p13.3,1241749,1244823,+,,,P30049,6,1,,,,""ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2"",Homo sapiens";;;;;;;;
P17568,C,canonical,  1.000,  1.000,3,  4.231,2,19,19p13.12,14676892,14682886,-,,,P17568,7,1,,,,NDUB7_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Homo sapiens GN=NDUFB7 PE=1 SV=4,Homo sapiens;;;;;;;;
P09382,C,canonical,  1.000,  1.000,33, 36.196,7,22,22q13.1,38071615,38075813,+,,,P09382,8,1,,,,LEG1_HUMAN Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2,Homo sapiens;;;;;;;;
P55769,C,canonical,  1.000,  1.000,3,  3.702,2,22,22q13.2,42069958,42078626,-,,,P55769,9,3,,,,NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=1 SV=3,Homo sapiens;;;;;;;;
